Statistic,Quarter,Sector,value
Gross Value Added at Current Basic Prices,2003Q1,"Public Admin, Education and Health",4622.0
Gross Value Added at Current Basic Prices,2003Q1,"Arts, Entertainment and Other Services",702.0
Gross Value Added at Current Basic Prices,2003Q1,Statistical Discrepancy,275.0
Gross Value Added at Current Basic Prices,2003Q1,All Sectors,31226.0
Gross Value Added at Current Basic Prices,2003Q2,"Agriculture, Forestry and Fishing",879.0
Gross Value Added at Current Basic Prices,2003Q2,Industry (excl. Construction),9800.0
Gross Value Added at Current Basic Prices,2003Q2,Industry - of which Manufacturing,9067.0
Gross Value Added at Current Basic Prices,2003Q2,Construction,2338.0
Gross Value Added at Current Basic Prices,2003Q2,"Distribution, Transport, Hotels and Restaurants",5037.0
Gross Value Added at Current Basic Prices,2003Q2,Information and Communication,2104.0
Gross Value Added at Current Basic Prices,2003Q2,Financial and Insurance Activities,2831.0
Gross Value Added at Current Basic Prices,2003Q2,Real Estate Activities,2296.0
Gross Value Added at Current Basic Prices,2003Q2,"Professional, Admin and Support Services",2036.0
Gross Value Added at Current Basic Prices,2003Q2,"Public Admin, Education and Health",4729.0
Gross Value Added at Current Basic Prices,2003Q2,"Arts, Entertainment and Other Services",687.0
Gross Value Added at Current Basic Prices,2003Q2,Statistical Discrepancy,424.0
Gross Value Added at Current Basic Prices,2003Q2,All Sectors,33161.0
Gross Value Added at Current Basic Prices,2003Q3,"Agriculture, Forestry and Fishing",518.0
Gross Value Added at Current Basic Prices,2003Q3,Industry (excl. Construction),7943.0
Gross Value Added at Current Basic Prices,2003Q3,Industry - of which Manufacturing,7197.0
Gross Value Added at Current Basic Prices,2003Q3,Construction,2661.0
Gross Value Added at Current Basic Prices,2003Q3,"Distribution, Transport, Hotels and Restaurants",5106.0
Gross Value Added at Current Basic Prices,2003Q3,Information and Communication,2114.0
Gross Value Added at Current Basic Prices,2003Q3,Financial and Insurance Activities,2969.0
Gross Value Added at Current Basic Prices,2003Q3,Real Estate Activities,2517.0
Gross Value Added at Current Basic Prices,2003Q3,"Professional, Admin and Support Services",2014.0
Gross Value Added at Current Basic Prices,2003Q3,"Public Admin, Education and Health",4769.0
Gross Value Added at Current Basic Prices,2003Q3,"Arts, Entertainment and Other Services",740.0
Gross Value Added at Current Basic Prices,2003Q3,Statistical Discrepancy,94.0
Gross Value Added at Current Basic Prices,2003Q3,All Sectors,31444.0
Gross Value Added at Current Basic Prices,2003Q4,"Agriculture, Forestry and Fishing",160.0
Gross Value Added at Current Basic Prices,2003Q4,Industry (excl. Construction),10261.0
Gross Value Added at Current Basic Prices,2003Q4,Industry - of which Manufacturing,9488.0
Gross Value Added at Current Basic Prices,2003Q4,Construction,2743.0
Gross Value Added at Current Basic Prices,2003Q4,"Distribution, Transport, Hotels and Restaurants",5193.0
Gross Value Added at Current Basic Prices,2003Q4,Information and Communication,2232.0
Gross Value Added at Current Basic Prices,2003Q4,Financial and Insurance Activities,2954.0
Gross Value Added at Current Basic Prices,2003Q4,Real Estate Activities,2666.0
Gross Value Added at Current Basic Prices,2003Q4,"Professional, Admin and Support Services",2077.0
Gross Value Added at Current Basic Prices,2003Q4,"Public Admin, Education and Health",4913.0
Gross Value Added at Current Basic Prices,2003Q4,"Arts, Entertainment and Other Services",749.0
Gross Value Added at Current Basic Prices,2003Q4,Statistical Discrepancy,1267.0
Gross Value Added at Current Basic Prices,2003Q4,All Sectors,35215.0
Gross Value Added at Current Basic Prices,2004Q1,"Agriculture, Forestry and Fishing",698.0
Gross Value Added at Current Basic Prices,2004Q1,Industry (excl. Construction),9162.0
Gross Value Added at Current Basic Prices,2004Q1,Industry - of which Manufacturing,8354.0
Gross Value Added at Current Basic Prices,2004Q1,Construction,2811.0
Gross Value Added at Current Basic Prices,2004Q1,"Distribution, Transport, Hotels and Restaurants",5219.0
Gross Value Added at Current Basic Prices,2004Q1,Information and Communication,2358.0
Gross Value Added at Current Basic Prices,2004Q1,Financial and Insurance Activities,3152.0
Gross Value Added at Current Basic Prices,2004Q1,Real Estate Activities,2318.0
Gross Value Added at Current Basic Prices,2004Q1,"Professional, Admin and Support Services",2248.0
Gross Value Added at Current Basic Prices,2004Q1,"Public Admin, Education and Health",5099.0
Gross Value Added at Current Basic Prices,2004Q1,"Arts, Entertainment and Other Services",714.0
Gross Value Added at Current Basic Prices,2004Q1,Statistical Discrepancy,-99.0
Gross Value Added at Current Basic Prices,2004Q1,All Sectors,33679.0
Gross Value Added at Current Basic Prices,2004Q2,"Agriculture, Forestry and Fishing",986.0
Gross Value Added at Current Basic Prices,2004Q2,Industry (excl. Construction),9829.0
Gross Value Added at Current Basic Prices,2004Q2,Industry - of which Manufacturing,9065.0
Gross Value Added at Current Basic Prices,2004Q2,Construction,3151.0
Gross Value Added at Current Basic Prices,2004Q2,"Distribution, Transport, Hotels and Restaurants",5274.0
Gross Value Added at Current Basic Prices,2004Q2,Information and Communication,2305.0
Gross Value Added at Current Basic Prices,2004Q2,Financial and Insurance Activities,3110.0
Gross Value Added at Current Basic Prices,2004Q2,Real Estate Activities,2421.0
Gross Value Added at Current Basic Prices,2004Q2,"Professional, Admin and Support Services",2284.0
Gross Value Added at Current Basic Prices,2004Q2,"Public Admin, Education and Health",5190.0
Gross Value Added at Current Basic Prices,2004Q2,"Arts, Entertainment and Other Services",726.0
Gross Value Added at Current Basic Prices,2004Q2,Statistical Discrepancy,646.0
Gross Value Added at Current Basic Prices,2004Q2,All Sectors,35921.0
Gross Value Added at Current Basic Prices,2004Q3,"Agriculture, Forestry and Fishing",580.0
Gross Value Added at Current Basic Prices,2004Q3,Industry (excl. Construction),7794.0
Gross Value Added at Current Basic Prices,2004Q3,Industry - of which Manufacturing,7056.0
Gross Value Added at Current Basic Prices,2004Q3,Construction,3003.0
Gross Value Added at Current Basic Prices,2004Q3,"Distribution, Transport, Hotels and Restaurants",5374.0
Gross Value Added at Current Basic Prices,2004Q3,Information and Communication,2375.0
Gross Value Added at Current Basic Prices,2004Q3,Financial and Insurance Activities,3190.0
Gross Value Added at Current Basic Prices,2004Q3,Real Estate Activities,2391.0
Gross Value Added at Current Basic Prices,2004Q3,"Professional, Admin and Support Services",2378.0
Gross Value Added at Current Basic Prices,2004Q3,"Public Admin, Education and Health",5236.0
Gross Value Added at Current Basic Prices,2004Q3,"Arts, Entertainment and Other Services",789.0
Gross Value Added at Current Basic Prices,2004Q3,Statistical Discrepancy,513.0
Gross Value Added at Current Basic Prices,2004Q3,All Sectors,33622.0
Gross Value Added at Current Basic Prices,2004Q4,"Agriculture, Forestry and Fishing",196.0
Gross Value Added at Current Basic Prices,2004Q4,Industry (excl. Construction),9344.0
Gross Value Added at Current Basic Prices,2004Q4,Industry - of which Manufacturing,8539.0
Gross Value Added at Current Basic Prices,2004Q4,Construction,2983.0
Gross Value Added at Current Basic Prices,2004Q4,"Distribution, Transport, Hotels and Restaurants",5447.0
Gross Value Added at Current Basic Prices,2004Q4,Information and Communication,2458.0
Gross Value Added at Current Basic Prices,2004Q4,Financial and Insurance Activities,3378.0
Gross Value Added at Current Basic Prices,2004Q4,Real Estate Activities,2605.0
Gross Value Added at Current Basic Prices,2004Q4,"Professional, Admin and Support Services",2617.0
Gross Value Added at Current Basic Prices,2004Q4,"Public Admin, Education and Health",5446.0
Gross Value Added at Current Basic Prices,2004Q4,"Arts, Entertainment and Other Services",793.0
Gross Value Added at Current Basic Prices,2004Q4,Statistical Discrepancy,1305.0
Gross Value Added at Current Basic Prices,2004Q4,All Sectors,36571.0
Gross Value Added at Current Basic Prices,2005Q1,"Agriculture, Forestry and Fishing",554.0
Gross Value Added at Current Basic Prices,2005Q1,Industry (excl. Construction),9293.0
Gross Value Added at Current Basic Prices,2005Q1,Industry - of which Manufacturing,8441.0
Gross Value Added at Current Basic Prices,2005Q1,Construction,3220.0
Gross Value Added at Current Basic Prices,2005Q1,"Distribution, Transport, Hotels and Restaurants",5853.0
Gross Value Added at Current Basic Prices,2005Q1,Information and Communication,2546.0
Gross Value Added at Current Basic Prices,2005Q1,Financial and Insurance Activities,3551.0
Gross Value Added at Current Basic Prices,2005Q1,Real Estate Activities,2329.0
Gross Value Added at Current Basic Prices,2005Q1,"Professional, Admin and Support Services",2904.0
Gross Value Added at Current Basic Prices,2005Q1,"Public Admin, Education and Health",5505.0
Gross Value Added at Current Basic Prices,2005Q1,"Arts, Entertainment and Other Services",761.0
Gross Value Added at Current Basic Prices,2005Q1,Statistical Discrepancy,-490.0
Gross Value Added at Current Basic Prices,2005Q1,All Sectors,36027.0
Gross Value Added at Current Basic Prices,2005Q2,"Agriculture, Forestry and Fishing",842.0
Gross Value Added at Current Basic Prices,2005Q2,Industry (excl. Construction),9601.0
Gross Value Added at Current Basic Prices,2005Q2,Industry - of which Manufacturing,8853.0
Gross Value Added at Current Basic Prices,2005Q2,Construction,3754.0
Gross Value Added at Current Basic Prices,2005Q2,"Distribution, Transport, Hotels and Restaurants",5880.0
Gross Value Added at Current Basic Prices,2005Q2,Information and Communication,2540.0
Gross Value Added at Current Basic Prices,2005Q2,Financial and Insurance Activities,3542.0
Gross Value Added at Current Basic Prices,2005Q2,Real Estate Activities,2386.0
Gross Value Added at Current Basic Prices,2005Q2,"Professional, Admin and Support Services",3125.0
Gross Value Added at Current Basic Prices,2005Q2,"Public Admin, Education and Health",5640.0
Gross Value Added at Current Basic Prices,2005Q2,"Arts, Entertainment and Other Services",765.0
Gross Value Added at Current Basic Prices,2005Q2,Statistical Discrepancy,607.0
Gross Value Added at Current Basic Prices,2005Q2,All Sectors,38681.0
Gross Value Added at Current Basic Prices,2005Q3,"Agriculture, Forestry and Fishing",341.0
Gross Value Added at Current Basic Prices,2005Q3,Industry (excl. Construction),8033.0
Gross Value Added at Current Basic Prices,2005Q3,Industry - of which Manufacturing,7335.0
Gross Value Added at Current Basic Prices,2005Q3,Construction,3811.0
Gross Value Added at Current Basic Prices,2005Q3,"Distribution, Transport, Hotels and Restaurants",5905.0
Gross Value Added at Current Basic Prices,2005Q3,Information and Communication,2572.0
Gross Value Added at Current Basic Prices,2005Q3,Financial and Insurance Activities,3678.0
Gross Value Added at Current Basic Prices,2005Q3,Real Estate Activities,2483.0
Gross Value Added at Current Basic Prices,2005Q3,"Professional, Admin and Support Services",3113.0
Gross Value Added at Current Basic Prices,2005Q3,"Public Admin, Education and Health",5660.0
Gross Value Added at Current Basic Prices,2005Q3,"Arts, Entertainment and Other Services",837.0
Gross Value Added at Current Basic Prices,2005Q3,Statistical Discrepancy,-20.0
Gross Value Added at Current Basic Prices,2005Q3,All Sectors,36411.0
Gross Value Added at Current Basic Prices,2005Q4,"Agriculture, Forestry and Fishing",23.0
Gross Value Added at Current Basic Prices,2005Q4,Industry (excl. Construction),9601.0
Gross Value Added at Current Basic Prices,2005Q4,Industry - of which Manufacturing,8738.0
Gross Value Added at Current Basic Prices,2005Q4,Construction,3836.0
Gross Value Added at Current Basic Prices,2005Q4,"Distribution, Transport, Hotels and Restaurants",6044.0
Gross Value Added at Current Basic Prices,2005Q4,Information and Communication,2580.0
Gross Value Added at Current Basic Prices,2005Q4,Financial and Insurance Activities,3833.0
Gross Value Added at Current Basic Prices,2005Q4,Real Estate Activities,2816.0
Gross Value Added at Current Basic Prices,2005Q4,"Professional, Admin and Support Services",3039.0
Gross Value Added at Current Basic Prices,2005Q4,"Public Admin, Education and Health",5881.0
Gross Value Added at Current Basic Prices,2005Q4,"Arts, Entertainment and Other Services",844.0
Gross Value Added at Current Basic Prices,2005Q4,Statistical Discrepancy,1404.0
Gross Value Added at Current Basic Prices,2005Q4,All Sectors,39904.0
Gross Value Added at Current Basic Prices,2006Q1,"Agriculture, Forestry and Fishing",549.0
Gross Value Added at Current Basic Prices,2006Q1,Industry (excl. Construction),9333.0
Gross Value Added at Current Basic Prices,2006Q1,Industry - of which Manufacturing,8314.0
Gross Value Added at Current Basic Prices,2006Q1,Construction,4130.0
Gross Value Added at Current Basic Prices,2006Q1,"Distribution, Transport, Hotels and Restaurants",6401.0
Gross Value Added at Current Basic Prices,2006Q1,Information and Communication,2418.0
Gross Value Added at Current Basic Prices,2006Q1,Financial and Insurance Activities,3779.0
Gross Value Added at Current Basic Prices,2006Q1,Real Estate Activities,2685.0
Gross Value Added at Current Basic Prices,2006Q1,"Professional, Admin and Support Services",3609.0
Gross Value Added at Current Basic Prices,2006Q1,"Public Admin, Education and Health",5942.0
Gross Value Added at Current Basic Prices,2006Q1,"Arts, Entertainment and Other Services",887.0
Gross Value Added at Current Basic Prices,2006Q1,Statistical Discrepancy,-497.0
Gross Value Added at Current Basic Prices,2006Q1,All Sectors,39236.0
Gross Value Added at Current Basic Prices,2006Q2,"Agriculture, Forestry and Fishing",826.0
Gross Value Added at Current Basic Prices,2006Q2,Industry (excl. Construction),10796.0
Gross Value Added at Current Basic Prices,2006Q2,Industry - of which Manufacturing,9856.0
Gross Value Added at Current Basic Prices,2006Q2,Construction,4281.0
Gross Value Added at Current Basic Prices,2006Q2,"Distribution, Transport, Hotels and Restaurants",6419.0
Gross Value Added at Current Basic Prices,2006Q2,Information and Communication,2290.0
Gross Value Added at Current Basic Prices,2006Q2,Financial and Insurance Activities,3886.0
Gross Value Added at Current Basic Prices,2006Q2,Real Estate Activities,2680.0
Gross Value Added at Current Basic Prices,2006Q2,"Professional, Admin and Support Services",3204.0
Gross Value Added at Current Basic Prices,2006Q2,"Public Admin, Education and Health",6147.0
Gross Value Added at Current Basic Prices,2006Q2,"Arts, Entertainment and Other Services",901.0
Gross Value Added at Current Basic Prices,2006Q2,Statistical Discrepancy,-69.0
Gross Value Added at Current Basic Prices,2006Q2,All Sectors,41361.0
Gross Value Added at Current Basic Prices,2006Q3,"Agriculture, Forestry and Fishing",243.0
Gross Value Added at Current Basic Prices,2006Q3,Industry (excl. Construction),8862.0
Gross Value Added at Current Basic Prices,2006Q3,Industry - of which Manufacturing,7965.0
Gross Value Added at Current Basic Prices,2006Q3,Construction,4203.0
Gross Value Added at Current Basic Prices,2006Q3,"Distribution, Transport, Hotels and Restaurants",6440.0
Gross Value Added at Current Basic Prices,2006Q3,Information and Communication,2805.0
Gross Value Added at Current Basic Prices,2006Q3,Financial and Insurance Activities,3964.0
Gross Value Added at Current Basic Prices,2006Q3,Real Estate Activities,2796.0
Gross Value Added at Current Basic Prices,2006Q3,"Professional, Admin and Support Services",3091.0
Gross Value Added at Current Basic Prices,2006Q3,"Public Admin, Education and Health",6286.0
Gross Value Added at Current Basic Prices,2006Q3,"Arts, Entertainment and Other Services",928.0
Gross Value Added at Current Basic Prices,2006Q3,Statistical Discrepancy,299.0
Gross Value Added at Current Basic Prices,2006Q3,All Sectors,39915.0
Gross Value Added at Current Basic Prices,2006Q4,"Agriculture, Forestry and Fishing",86.0
Gross Value Added at Current Basic Prices,2006Q4,Industry (excl. Construction),9267.0
Gross Value Added at Current Basic Prices,2006Q4,Industry - of which Manufacturing,8210.0
Gross Value Added at Current Basic Prices,2006Q4,Construction,4751.0
Gross Value Added at Current Basic Prices,2006Q4,"Distribution, Transport, Hotels and Restaurants",6831.0
Gross Value Added at Current Basic Prices,2006Q4,Information and Communication,2783.0
Gross Value Added at Current Basic Prices,2006Q4,Financial and Insurance Activities,4241.0
Gross Value Added at Current Basic Prices,2006Q4,Real Estate Activities,2922.0
Gross Value Added at Current Basic Prices,2006Q4,"Professional, Admin and Support Services",3485.0
Gross Value Added at Current Basic Prices,2006Q4,"Public Admin, Education and Health",6483.0
Gross Value Added at Current Basic Prices,2006Q4,"Arts, Entertainment and Other Services",951.0
Gross Value Added at Current Basic Prices,2006Q4,Statistical Discrepancy,243.0
Gross Value Added at Current Basic Prices,2006Q4,All Sectors,42043.0
Gross Value Added at Current Basic Prices,2007Q1,"Agriculture, Forestry and Fishing",625.0
Gross Value Added at Current Basic Prices,2007Q1,Industry (excl. Construction),10470.0
Gross Value Added at Current Basic Prices,2007Q1,Industry - of which Manufacturing,9249.0
Gross Value Added at Current Basic Prices,2007Q1,Construction,3932.0
Gross Value Added at Current Basic Prices,2007Q1,"Distribution, Transport, Hotels and Restaurants",7092.0
Gross Value Added at Current Basic Prices,2007Q1,Information and Communication,3085.0
Gross Value Added at Current Basic Prices,2007Q1,Financial and Insurance Activities,4000.0
Gross Value Added at Current Basic Prices,2007Q1,Real Estate Activities,3120.0
Gross Value Added at Current Basic Prices,2007Q1,"Professional, Admin and Support Services",3423.0
Gross Value Added at Current Basic Prices,2007Q1,"Public Admin, Education and Health",6611.0
Gross Value Added at Current Basic Prices,2007Q1,"Arts, Entertainment and Other Services",1003.0
Gross Value Added at Current Basic Prices,2007Q1,Statistical Discrepancy,-341.0
Gross Value Added at Current Basic Prices,2007Q1,All Sectors,43022.0
Gross Value Added at Current Basic Prices,2007Q2,"Agriculture, Forestry and Fishing",979.0
Gross Value Added at Current Basic Prices,2007Q2,Industry (excl. Construction),10191.0
Gross Value Added at Current Basic Prices,2007Q2,Industry - of which Manufacturing,9048.0
Gross Value Added at Current Basic Prices,2007Q2,Construction,4276.0
Gross Value Added at Current Basic Prices,2007Q2,"Distribution, Transport, Hotels and Restaurants",7133.0
Gross Value Added at Current Basic Prices,2007Q2,Information and Communication,2940.0
Gross Value Added at Current Basic Prices,2007Q2,Financial and Insurance Activities,4189.0
Gross Value Added at Current Basic Prices,2007Q2,Real Estate Activities,3201.0
Gross Value Added at Current Basic Prices,2007Q2,"Professional, Admin and Support Services",3696.0
Gross Value Added at Current Basic Prices,2007Q2,"Public Admin, Education and Health",6771.0
Gross Value Added at Current Basic Prices,2007Q2,"Arts, Entertainment and Other Services",988.0
Gross Value Added at Current Basic Prices,2007Q2,Statistical Discrepancy,103.0
Gross Value Added at Current Basic Prices,2007Q2,All Sectors,44467.0
Gross Value Added at Current Basic Prices,2007Q3,"Agriculture, Forestry and Fishing",379.0
Gross Value Added at Current Basic Prices,2007Q3,Industry (excl. Construction),9342.0
Gross Value Added at Current Basic Prices,2007Q3,Industry - of which Manufacturing,8199.0
Gross Value Added at Current Basic Prices,2007Q3,Construction,3918.0
Gross Value Added at Current Basic Prices,2007Q3,"Distribution, Transport, Hotels and Restaurants",7241.0
Gross Value Added at Current Basic Prices,2007Q3,Information and Communication,2516.0
Gross Value Added at Current Basic Prices,2007Q3,Financial and Insurance Activities,4591.0
Gross Value Added at Current Basic Prices,2007Q3,Real Estate Activities,3142.0
Gross Value Added at Current Basic Prices,2007Q3,"Professional, Admin and Support Services",3824.0
Gross Value Added at Current Basic Prices,2007Q3,"Public Admin, Education and Health",6860.0
Gross Value Added at Current Basic Prices,2007Q3,"Arts, Entertainment and Other Services",1081.0
Gross Value Added at Current Basic Prices,2007Q3,Statistical Discrepancy,-952.0
Gross Value Added at Current Basic Prices,2007Q3,All Sectors,41942.0
Gross Value Added at Current Basic Prices,2007Q4,"Agriculture, Forestry and Fishing",72.0
Gross Value Added at Current Basic Prices,2007Q4,Industry (excl. Construction),10151.0
Gross Value Added at Current Basic Prices,2007Q4,Industry - of which Manufacturing,8923.0
Gross Value Added at Current Basic Prices,2007Q4,Construction,3936.0
Gross Value Added at Current Basic Prices,2007Q4,"Distribution, Transport, Hotels and Restaurants",7399.0
Gross Value Added at Current Basic Prices,2007Q4,Information and Communication,2840.0
Gross Value Added at Current Basic Prices,2007Q4,Financial and Insurance Activities,4627.0
Gross Value Added at Current Basic Prices,2007Q4,Real Estate Activities,3422.0
Gross Value Added at Current Basic Prices,2007Q4,"Professional, Admin and Support Services",3985.0
Gross Value Added at Current Basic Prices,2007Q4,"Public Admin, Education and Health",7004.0
Gross Value Added at Current Basic Prices,2007Q4,"Arts, Entertainment and Other Services",1009.0
Gross Value Added at Current Basic Prices,2007Q4,Statistical Discrepancy,326.0
Gross Value Added at Current Basic Prices,2007Q4,All Sectors,44772.0
Gross Value Added at Current Basic Prices,2008Q1,"Agriculture, Forestry and Fishing",470.0
Gross Value Added at Current Basic Prices,2008Q1,Industry (excl. Construction),10095.0
Gross Value Added at Current Basic Prices,2008Q1,Industry - of which Manufacturing,8890.0
Gross Value Added at Current Basic Prices,2008Q1,Construction,2962.0
Gross Value Added at Current Basic Prices,2008Q1,"Distribution, Transport, Hotels and Restaurants",7074.0
Gross Value Added at Current Basic Prices,2008Q1,Information and Communication,3058.0
Gross Value Added at Current Basic Prices,2008Q1,Financial and Insurance Activities,3939.0
Gross Value Added at Current Basic Prices,2008Q1,Real Estate Activities,3314.0
Gross Value Added at Current Basic Prices,2008Q1,"Professional, Admin and Support Services",3651.0
Gross Value Added at Current Basic Prices,2008Q1,"Public Admin, Education and Health",7079.0
Gross Value Added at Current Basic Prices,2008Q1,"Arts, Entertainment and Other Services",998.0
Gross Value Added at Current Basic Prices,2008Q1,Statistical Discrepancy,-258.0
Gross Value Added at Current Basic Prices,2008Q1,All Sectors,42381.0
Gross Value Added at Current Basic Prices,2008Q2,"Agriculture, Forestry and Fishing",722.0
Gross Value Added at Current Basic Prices,2008Q2,Industry (excl. Construction),10334.0
Gross Value Added at Current Basic Prices,2008Q2,Industry - of which Manufacturing,9185.0
Gross Value Added at Current Basic Prices,2008Q2,Construction,2961.0
Gross Value Added at Current Basic Prices,2008Q2,"Distribution, Transport, Hotels and Restaurants",6802.0
Gross Value Added at Current Basic Prices,2008Q2,Information and Communication,3098.0
Gross Value Added at Current Basic Prices,2008Q2,Financial and Insurance Activities,3986.0
Gross Value Added at Current Basic Prices,2008Q2,Real Estate Activities,3262.0
Gross Value Added at Current Basic Prices,2008Q2,"Professional, Admin and Support Services",3605.0
Gross Value Added at Current Basic Prices,2008Q2,"Public Admin, Education and Health",7403.0
Gross Value Added at Current Basic Prices,2008Q2,"Arts, Entertainment and Other Services",1015.0
Gross Value Added at Current Basic Prices,2008Q2,Statistical Discrepancy,-107.0
Gross Value Added at Current Basic Prices,2008Q2,All Sectors,43082.0
Gross Value Added at Current Basic Prices,2008Q3,"Agriculture, Forestry and Fishing",365.0
Gross Value Added at Current Basic Prices,2008Q3,Industry (excl. Construction),9033.0
Gross Value Added at Current Basic Prices,2008Q3,Industry - of which Manufacturing,7968.0
Gross Value Added at Current Basic Prices,2008Q3,Construction,2696.0
Gross Value Added at Current Basic Prices,2008Q3,"Distribution, Transport, Hotels and Restaurants",6743.0
Gross Value Added at Current Basic Prices,2008Q3,Information and Communication,3367.0
Gross Value Added at Current Basic Prices,2008Q3,Financial and Insurance Activities,4194.0
Gross Value Added at Current Basic Prices,2008Q3,Real Estate Activities,3127.0
Gross Value Added at Current Basic Prices,2008Q3,"Professional, Admin and Support Services",3585.0
Gross Value Added at Current Basic Prices,2008Q3,"Public Admin, Education and Health",7361.0
Gross Value Added at Current Basic Prices,2008Q3,"Arts, Entertainment and Other Services",1008.0
Gross Value Added at Current Basic Prices,2008Q3,Statistical Discrepancy,-100.0
Gross Value Added at Current Basic Prices,2008Q3,All Sectors,41380.0
Gross Value Added at Current Basic Prices,2008Q4,"Agriculture, Forestry and Fishing",35.0
Gross Value Added at Current Basic Prices,2008Q4,Industry (excl. Construction),8043.0
Gross Value Added at Current Basic Prices,2008Q4,Industry - of which Manufacturing,6842.0
Gross Value Added at Current Basic Prices,2008Q4,Construction,2431.0
Gross Value Added at Current Basic Prices,2008Q4,"Distribution, Transport, Hotels and Restaurants",6634.0
Gross Value Added at Current Basic Prices,2008Q4,Information and Communication,3228.0
Gross Value Added at Current Basic Prices,2008Q4,Financial and Insurance Activities,4303.0
Gross Value Added at Current Basic Prices,2008Q4,Real Estate Activities,3086.0
Gross Value Added at Current Basic Prices,2008Q4,"Professional, Admin and Support Services",3647.0
Gross Value Added at Current Basic Prices,2008Q4,"Public Admin, Education and Health",7694.0
Gross Value Added at Current Basic Prices,2008Q4,"Arts, Entertainment and Other Services",927.0
Gross Value Added at Current Basic Prices,2008Q4,Statistical Discrepancy,1079.0
Gross Value Added at Current Basic Prices,2008Q4,All Sectors,41107.0
Gross Value Added at Current Basic Prices,2009Q1,"Agriculture, Forestry and Fishing",258.0
Gross Value Added at Current Basic Prices,2009Q1,Industry (excl. Construction),10875.0
Gross Value Added at Current Basic Prices,2009Q1,Industry - of which Manufacturing,9590.0
Gross Value Added at Current Basic Prices,2009Q1,Construction,1135.0
Gross Value Added at Current Basic Prices,2009Q1,"Distribution, Transport, Hotels and Restaurants",6083.0
Gross Value Added at Current Basic Prices,2009Q1,Information and Communication,3053.0
Gross Value Added at Current Basic Prices,2009Q1,Financial and Insurance Activities,3901.0
Gross Value Added at Current Basic Prices,2009Q1,Real Estate Activities,2070.0
Gross Value Added at Current Basic Prices,2009Q1,"Professional, Admin and Support Services",3271.0
Gross Value Added at Current Basic Prices,2009Q1,"Public Admin, Education and Health",7184.0
Gross Value Added at Current Basic Prices,2009Q1,"Arts, Entertainment and Other Services",916.0
Gross Value Added at Current Basic Prices,2009Q1,Statistical Discrepancy,500.0
Gross Value Added at Current Basic Prices,2009Q1,All Sectors,39246.0
Gross Value Added at Current Basic Prices,2009Q2,"Agriculture, Forestry and Fishing",514.0
Gross Value Added at Current Basic Prices,2009Q2,Industry (excl. Construction),10876.0
Gross Value Added at Current Basic Prices,2009Q2,Industry - of which Manufacturing,9723.0
Gross Value Added at Current Basic Prices,2009Q2,Construction,1075.0
Gross Value Added at Current Basic Prices,2009Q2,"Distribution, Transport, Hotels and Restaurants",6071.0
Gross Value Added at Current Basic Prices,2009Q2,Information and Communication,3058.0
Gross Value Added at Current Basic Prices,2009Q2,Financial and Insurance Activities,3985.0
Gross Value Added at Current Basic Prices,2009Q2,Real Estate Activities,2053.0
Gross Value Added at Current Basic Prices,2009Q2,"Professional, Admin and Support Services",3244.0
Gross Value Added at Current Basic Prices,2009Q2,"Public Admin, Education and Health",7419.0
Gross Value Added at Current Basic Prices,2009Q2,"Arts, Entertainment and Other Services",921.0
Gross Value Added at Current Basic Prices,2009Q2,Statistical Discrepancy,704.0
Gross Value Added at Current Basic Prices,2009Q2,All Sectors,39919.0
Gross Value Added at Current Basic Prices,2009Q3,"Agriculture, Forestry and Fishing",156.0
Gross Value Added at Current Basic Prices,2009Q3,Industry (excl. Construction),8893.0
Gross Value Added at Current Basic Prices,2009Q3,Industry - of which Manufacturing,7821.0
Gross Value Added at Current Basic Prices,2009Q3,Construction,1024.0
Gross Value Added at Current Basic Prices,2009Q3,"Distribution, Transport, Hotels and Restaurants",6224.0
Gross Value Added at Current Basic Prices,2009Q3,Information and Communication,3350.0
Gross Value Added at Current Basic Prices,2009Q3,Financial and Insurance Activities,4141.0
Gross Value Added at Current Basic Prices,2009Q3,Real Estate Activities,2065.0
Gross Value Added at Current Basic Prices,2009Q3,"Professional, Admin and Support Services",3243.0
Gross Value Added at Current Basic Prices,2009Q3,"Public Admin, Education and Health",7391.0
Gross Value Added at Current Basic Prices,2009Q3,"Arts, Entertainment and Other Services",901.0
Gross Value Added at Current Basic Prices,2009Q3,Statistical Discrepancy,248.0
Gross Value Added at Current Basic Prices,2009Q3,All Sectors,37638.0
Gross Value Added at Current Basic Prices,2009Q4,"Agriculture, Forestry and Fishing",18.0
Gross Value Added at Current Basic Prices,2009Q4,Industry (excl. Construction),8602.0
Gross Value Added at Current Basic Prices,2009Q4,Industry - of which Manufacturing,7429.0
Gross Value Added at Current Basic Prices,2009Q4,Construction,937.0
Gross Value Added at Current Basic Prices,2009Q4,"Distribution, Transport, Hotels and Restaurants",6262.0
Gross Value Added at Current Basic Prices,2009Q4,Information and Communication,3291.0
Gross Value Added at Current Basic Prices,2009Q4,Financial and Insurance Activities,4017.0
Gross Value Added at Current Basic Prices,2009Q4,Real Estate Activities,2087.0
Gross Value Added at Current Basic Prices,2009Q4,"Professional, Admin and Support Services",3404.0
Gross Value Added at Current Basic Prices,2009Q4,"Public Admin, Education and Health",7493.0
