Statistic,Quarter,Ireland,value
Household total disposable Income (TDI = B.6G+D.8)(Constant Price Seasonally Adjusted),2022Q4,Ireland,32878.18
Household total disposable Income (TDI = B.6G+D.8)(Constant Price Seasonally Adjusted),2023Q1,Ireland,32923.2
Household total disposable Income (TDI = B.6G+D.8)(Constant Price Seasonally Adjusted),2023Q2,Ireland,33017.35
Household total disposable Income (TDI = B.6G+D.8)(Constant Price Seasonally Adjusted),2023Q3,Ireland,32908.1
Household individual Consumption Expenditure (P.31),1999Q1,Ireland,10349.63
Household individual Consumption Expenditure (P.31),1999Q2,Ireland,10441.93
Household individual Consumption Expenditure (P.31),1999Q3,Ireland,11217.63
Household individual Consumption Expenditure (P.31),1999Q4,Ireland,12021.71
Household individual Consumption Expenditure (P.31),2000Q1,Ireland,11921.38
Household individual Consumption Expenditure (P.31),2000Q2,Ireland,12424.54
Household individual Consumption Expenditure (P.31),2000Q3,Ireland,12585.09
Household individual Consumption Expenditure (P.31),2000Q4,Ireland,13978.68
Household individual Consumption Expenditure (P.31),2001Q1,Ireland,13191.93
Household individual Consumption Expenditure (P.31),2001Q2,Ireland,13613.14
Household individual Consumption Expenditure (P.31),2001Q3,Ireland,13664.92
Household individual Consumption Expenditure (P.31),2001Q4,Ireland,15169.37
Household individual Consumption Expenditure (P.31),2002Q1,Ireland,14427.8
Household individual Consumption Expenditure (P.31),2002Q2,Ireland,14669.08
Household individual Consumption Expenditure (P.31),2002Q3,Ireland,15044.1
Household individual Consumption Expenditure (P.31),2002Q4,Ireland,16461.38
Household individual Consumption Expenditure (P.31),2003Q1,Ireland,15697.17
Household individual Consumption Expenditure (P.31),2003Q2,Ireland,15870.94
Household individual Consumption Expenditure (P.31),2003Q3,Ireland,15802.88
Household individual Consumption Expenditure (P.31),2003Q4,Ireland,17359.24
Household individual Consumption Expenditure (P.31),2004Q1,Ireland,16574.02
Household individual Consumption Expenditure (P.31),2004Q2,Ireland,16663.38
Household individual Consumption Expenditure (P.31),2004Q3,Ireland,16787.68
Household individual Consumption Expenditure (P.31),2004Q4,Ireland,18362.17
Household individual Consumption Expenditure (P.31),2005Q1,Ireland,17430.11
Household individual Consumption Expenditure (P.31),2005Q2,Ireland,17964.16
Household individual Consumption Expenditure (P.31),2005Q3,Ireland,18680.39
Household individual Consumption Expenditure (P.31),2005Q4,Ireland,20238.08
Household individual Consumption Expenditure (P.31),2006Q1,Ireland,19305.93
Household individual Consumption Expenditure (P.31),2006Q2,Ireland,19848.2
Household individual Consumption Expenditure (P.31),2006Q3,Ireland,19847.84
Household individual Consumption Expenditure (P.31),2006Q4,Ireland,22027.23
Household individual Consumption Expenditure (P.31),2007Q1,Ireland,21599.44
Household individual Consumption Expenditure (P.31),2007Q2,Ireland,21727.18
Household individual Consumption Expenditure (P.31),2007Q3,Ireland,21744.65
Household individual Consumption Expenditure (P.31),2007Q4,Ireland,23984.58
Household individual Consumption Expenditure (P.31),2008Q1,Ireland,23001.53
Household individual Consumption Expenditure (P.31),2008Q2,Ireland,22116.55
Household individual Consumption Expenditure (P.31),2008Q3,Ireland,21826.81
Household individual Consumption Expenditure (P.31),2008Q4,Ireland,23665.54
Household individual Consumption Expenditure (P.31),2009Q1,Ireland,20506.25
Household individual Consumption Expenditure (P.31),2009Q2,Ireland,19635.65
Household individual Consumption Expenditure (P.31),2009Q3,Ireland,19032.73
Household individual Consumption Expenditure (P.31),2009Q4,Ireland,20966.8
Household individual Consumption Expenditure (P.31),2010Q1,Ireland,19731.44
Household individual Consumption Expenditure (P.31),2010Q2,Ireland,19357.47
Household individual Consumption Expenditure (P.31),2010Q3,Ireland,19135.2
Household individual Consumption Expenditure (P.31),2010Q4,Ireland,21151.21
Household individual Consumption Expenditure (P.31),2011Q1,Ireland,19791.07
Household individual Consumption Expenditure (P.31),2011Q2,Ireland,19549.93
Household individual Consumption Expenditure (P.31),2011Q3,Ireland,18899.05
Household individual Consumption Expenditure (P.31),2011Q4,Ireland,20801.53
Household individual Consumption Expenditure (P.31),2012Q1,Ireland,19491.65
Household individual Consumption Expenditure (P.31),2012Q2,Ireland,19396.62
Household individual Consumption Expenditure (P.31),2012Q3,Ireland,19410.86
Household individual Consumption Expenditure (P.31),2012Q4,Ireland,21076.77
Household individual Consumption Expenditure (P.31),2013Q1,Ireland,19882.18
Household individual Consumption Expenditure (P.31),2013Q2,Ireland,19572.49
Household individual Consumption Expenditure (P.31),2013Q3,Ireland,19685.27
Household individual Consumption Expenditure (P.31),2013Q4,Ireland,21515.86
Household individual Consumption Expenditure (P.31),2014Q1,Ireland,20302.91
Household individual Consumption Expenditure (P.31),2014Q2,Ireland,20325.32
Household individual Consumption Expenditure (P.31),2014Q3,Ireland,20431.37
Household individual Consumption Expenditure (P.31),2014Q4,Ireland,22487.0
Household individual Consumption Expenditure (P.31),2015Q1,Ireland,21147.38
Household individual Consumption Expenditure (P.31),2015Q2,Ireland,20970.22
Household individual Consumption Expenditure (P.31),2015Q3,Ireland,21337.78
Household individual Consumption Expenditure (P.31),2015Q4,Ireland,23245.77
Household individual Consumption Expenditure (P.31),2016Q1,Ireland,22813.77
Household individual Consumption Expenditure (P.31),2016Q2,Ireland,22038.92
Household individual Consumption Expenditure (P.31),2016Q3,Ireland,22134.25
Household individual Consumption Expenditure (P.31),2016Q4,Ireland,24307.74
Household individual Consumption Expenditure (P.31),2017Q1,Ireland,23502.66
Household individual Consumption Expenditure (P.31),2017Q2,Ireland,22842.34
Household individual Consumption Expenditure (P.31),2017Q3,Ireland,23307.59
Household individual Consumption Expenditure (P.31),2017Q4,Ireland,25375.87
Household individual Consumption Expenditure (P.31),2018Q1,Ireland,24597.66
Household individual Consumption Expenditure (P.31),2018Q2,Ireland,24449.61
Household individual Consumption Expenditure (P.31),2018Q3,Ireland,24820.2
Household individual Consumption Expenditure (P.31),2018Q4,Ireland,26603.48
Household individual Consumption Expenditure (P.31),2019Q1,Ireland,25791.11
Household individual Consumption Expenditure (P.31),2019Q2,Ireland,25655.6
Household individual Consumption Expenditure (P.31),2019Q3,Ireland,25762.7
Household individual Consumption Expenditure (P.31),2019Q4,Ireland,27588.28
Household individual Consumption Expenditure (P.31),2020Q1,Ireland,24801.98
Household individual Consumption Expenditure (P.31),2020Q2,Ireland,20438.75
Household individual Consumption Expenditure (P.31),2020Q3,Ireland,24018.17
Household individual Consumption Expenditure (P.31),2020Q4,Ireland,24900.97
Household individual Consumption Expenditure (P.31),2021Q1,Ireland,22404.87
Household individual Consumption Expenditure (P.31),2021Q2,Ireland,25858.7
Household individual Consumption Expenditure (P.31),2021Q3,Ireland,27721.24
Household individual Consumption Expenditure (P.31),2021Q4,Ireland,30132.16
Household individual Consumption Expenditure (P.31),2022Q1,Ireland,28277.09
Household individual Consumption Expenditure (P.31),2022Q2,Ireland,29883.15
Household individual Consumption Expenditure (P.31),2022Q3,Ireland,31206.84
Household individual Consumption Expenditure (P.31),2022Q4,Ireland,34765.95
Household individual Consumption Expenditure (P.31),2023Q1,Ireland,32130.08
Household individual Consumption Expenditure (P.31),2023Q2,Ireland,32944.47
Household individual Consumption Expenditure (P.31),2023Q3,Ireland,34413.04
Household individual Consumption Expenditure (P.31)(Seasonally Adjusted),1999Q1,Ireland,10581.25
Household individual Consumption Expenditure (P.31)(Seasonally Adjusted),1999Q2,Ireland,10627.15
Household individual Consumption Expenditure (P.31)(Seasonally Adjusted),1999Q3,Ireland,11507.04
Household individual Consumption Expenditure (P.31)(Seasonally Adjusted),1999Q4,Ireland,11312.15
Household individual Consumption Expenditure (P.31)(Seasonally Adjusted),2000Q1,Ireland,12153.85
Household individual Consumption Expenditure (P.31)(Seasonally Adjusted),2000Q2,Ireland,12635.07
Household individual Consumption Expenditure (P.31)(Seasonally Adjusted),2000Q3,Ireland,12917.37
Household individual Consumption Expenditure (P.31)(Seasonally Adjusted),2000Q4,Ireland,13193.46
Household individual Consumption Expenditure (P.31)(Seasonally Adjusted),2001Q1,Ireland,13422.5
Household individual Consumption Expenditure (P.31)(Seasonally Adjusted),2001Q2,Ireland,13832.11
Household individual Consumption Expenditure (P.31)(Seasonally Adjusted),2001Q3,Ireland,14034.56
Household individual Consumption Expenditure (P.31)(Seasonally Adjusted),2001Q4,Ireland,14323.09
Household individual Consumption Expenditure (P.31)(Seasonally Adjusted),2002Q1,Ireland,14661.45
Household individual Consumption Expenditure (P.31)(Seasonally Adjusted),2002Q2,Ireland,14914.4
Household individual Consumption Expenditure (P.31)(Seasonally Adjusted),2002Q3,Ireland,15432.74
Household individual Consumption Expenditure (P.31)(Seasonally Adjusted),2002Q4,Ireland,15580.99
Household individual Consumption Expenditure (P.31)(Seasonally Adjusted),2003Q1,Ireland,15927.54
Household individual Consumption Expenditure (P.31)(Seasonally Adjusted),2003Q2,Ireland,16142.41
Household individual Consumption Expenditure (P.31)(Seasonally Adjusted),2003Q3,Ireland,16193.57
Household individual Consumption Expenditure (P.31)(Seasonally Adjusted),2003Q4,Ireland,16462.43
Household individual Consumption Expenditure (P.31)(Seasonally Adjusted),2004Q1,Ireland,16797.93
Household individual Consumption Expenditure (P.31)(Seasonally Adjusted),2004Q2,Ireland,16949.66
Household individual Consumption Expenditure (P.31)(Seasonally Adjusted),2004Q3,Ireland,17202.01
Household individual Consumption Expenditure (P.31)(Seasonally Adjusted),2004Q4,Ireland,17428.39
Household individual Consumption Expenditure (P.31)(Seasonally Adjusted),2005Q1,Ireland,17649.65
Household individual Consumption Expenditure (P.31)(Seasonally Adjusted),2005Q2,Ireland,18257.38
Household individual Consumption Expenditure (P.31)(Seasonally Adjusted),2005Q3,Ireland,19176.49
Household individual Consumption Expenditure (P.31)(Seasonally Adjusted),2005Q4,Ireland,19211.66
Household individual Consumption Expenditure (P.31)(Seasonally Adjusted),2006Q1,Ireland,19489.65
Household individual Consumption Expenditure (P.31)(Seasonally Adjusted),2006Q2,Ireland,20180.19
Household individual Consumption Expenditure (P.31)(Seasonally Adjusted),2006Q3,Ireland,20453.76
Household individual Consumption Expenditure (P.31)(Seasonally Adjusted),2006Q4,Ireland,20893.38
Household individual Consumption Expenditure (P.31)(Seasonally Adjusted),2007Q1,Ireland,21725.88
Household individual Consumption Expenditure (P.31)(Seasonally Adjusted),2007Q2,Ireland,22140.95
Household individual Consumption Expenditure (P.31)(Seasonally Adjusted),2007Q3,Ireland,22458.0
Household individual Consumption Expenditure (P.31)(Seasonally Adjusted),2007Q4,Ireland,22723.32
Household individual Consumption Expenditure (P.31)(Seasonally Adjusted),2008Q1,Ireland,23060.12
Household individual Consumption Expenditure (P.31)(Seasonally Adjusted),2008Q2,Ireland,22602.58
Household individual Consumption Expenditure (P.31)(Seasonally Adjusted),2008Q3,Ireland,22587.28
Household individual Consumption Expenditure (P.31)(Seasonally Adjusted),2008Q4,Ireland,22372.11
Household individual Consumption Expenditure (P.31)(Seasonally Adjusted),2009Q1,Ireland,20521.43
Household individual Consumption Expenditure (P.31)(Seasonally Adjusted),2009Q2,Ireland,20084.98
Household individual Consumption Expenditure (P.31)(Seasonally Adjusted),2009Q3,Ireland,19761.84
Household individual Consumption Expenditure (P.31)(Seasonally Adjusted),2009Q4,Ireland,19783.65
Household individual Consumption Expenditure (P.31)(Seasonally Adjusted),2010Q1,Ireland,19765.57
Household individual Consumption Expenditure (P.31)(Seasonally Adjusted),2010Q2,Ireland,19784.02
Household individual Consumption Expenditure (P.31)(Seasonally Adjusted),2010Q3,Ireland,19869.5
Household individual Consumption Expenditure (P.31)(Seasonally Adjusted),2010Q4,Ireland,19934.7
Household individual Consumption Expenditure (P.31)(Seasonally Adjusted),2011Q1,Ireland,19878.21
Household individual Consumption Expenditure (P.31)(Seasonally Adjusted),2011Q2,Ireland,19953.26
Household individual Consumption Expenditure (P.31)(Seasonally Adjusted),2011Q3,Ireland,19608.8
Household individual Consumption Expenditure (P.31)(Seasonally Adjusted),2011Q4,Ireland,19584.85
Household individual Consumption Expenditure (P.31)(Seasonally Adjusted),2012Q1,Ireland,19613.89
Household individual Consumption Expenditure (P.31)(Seasonally Adjusted),2012Q2,Ireland,19806.81
Household individual Consumption Expenditure (P.31)(Seasonally Adjusted),2012Q3,Ireland,20072.09
Household individual Consumption Expenditure (P.31)(Seasonally Adjusted),2012Q4,Ireland,19854.33
Household individual Consumption Expenditure (P.31)(Seasonally Adjusted),2013Q1,Ireland,20029.19
Household individual Consumption Expenditure (P.31)(Seasonally Adjusted),2013Q2,Ireland,20011.03
Household individual Consumption Expenditure (P.31)(Seasonally Adjusted),2013Q3,Ireland,20284.56
Household individual Consumption Expenditure (P.31)(Seasonally Adjusted),2013Q4,Ireland,20323.43
Household individual Consumption Expenditure (P.31)(Seasonally Adjusted),2014Q1,Ireland,20437.0
Household individual Consumption Expenditure (P.31)(Seasonally Adjusted),2014Q2,Ireland,20808.63
Household individual Consumption Expenditure (P.31)(Seasonally Adjusted),2014Q3,Ireland,21004.59
Household individual Consumption Expenditure (P.31)(Seasonally Adjusted),2014Q4,Ireland,21297.04
Household individual Consumption Expenditure (P.31)(Seasonally Adjusted),2015Q1,Ireland,21231.69
Household individual Consumption Expenditure (P.31)(Seasonally Adjusted),2015Q2,Ireland,21512.46
Household individual Consumption Expenditure (P.31)(Seasonally Adjusted),2015Q3,Ireland,21893.16
Household individual Consumption Expenditure (P.31)(Seasonally Adjusted),2015Q4,Ireland,22088.33
Household individual Consumption Expenditure (P.31)(Seasonally Adjusted),2016Q1,Ireland,22847.06
Household individual Consumption Expenditure (P.31)(Seasonally Adjusted),2016Q2,Ireland,22633.72
Household individual Consumption Expenditure (P.31)(Seasonally Adjusted),2016Q3,Ireland,22671.17
Household individual Consumption Expenditure (P.31)(Seasonally Adjusted),2016Q4,Ireland,23161.69
Household individual Consumption Expenditure (P.31)(Seasonally Adjusted),2017Q1,Ireland,23511.82
Household individual Consumption Expenditure (P.31)(Seasonally Adjusted),2017Q2,Ireland,23466.86
Household individual Consumption Expenditure (P.31)(Seasonally Adjusted),2017Q3,Ireland,23796.32
Household individual Consumption Expenditure (P.31)(Seasonally Adjusted),2017Q4,Ireland,24196.46
Household individual Consumption Expenditure (P.31)(Seasonally Adjusted),2018Q1,Ireland,24720.77
Household individual Consumption Expenditure (P.31)(Seasonally Adjusted),2018Q2,Ireland,25082.9
Household individual Consumption Expenditure (P.31)(Seasonally Adjusted),2018Q3,Ireland,25219.68
Household individual Consumption Expenditure (P.31)(Seasonally Adjusted),2018Q4,Ireland,25346.2
Household individual Consumption Expenditure (P.31)(Seasonally Adjusted),2019Q1,Ireland,26141.57
Household individual Consumption Expenditure (P.31)(Seasonally Adjusted),2019Q2,Ireland,26267.55
Household individual Consumption Expenditure (P.31)(Seasonally Adjusted),2019Q3,Ireland,26040.56
Household individual Consumption Expenditure (P.31)(Seasonally Adjusted),2019Q4,Ireland,26224.78
Household individual Consumption Expenditure (P.31)(Seasonally Adjusted),2020Q1,Ireland,25357.71
Household individual Consumption Expenditure (P.31)(Seasonally Adjusted),2020Q2,Ireland,20833.0
Household individual Consumption Expenditure (P.31)(Seasonally Adjusted),2020Q3,Ireland,24208.26
Household individual Consumption Expenditure (P.31)(Seasonally Adjusted),2020Q4,Ireland,23650.12
Household individual Consumption Expenditure (P.31)(Seasonally Adjusted),2021Q1,Ireland,22992.2
Household individual Consumption Expenditure (P.31)(Seasonally Adjusted),2021Q2,Ireland,26396.6
Household individual Consumption Expenditure (P.31)(Seasonally Adjusted),2021Q3,Ireland,27842.86
Household individual Consumption Expenditure (P.31)(Seasonally Adjusted),2021Q4,Ireland,28505.54
Household individual Consumption Expenditure (P.31)(Seasonally Adjusted),2022Q1,Ireland,29234.44
Household individual Consumption Expenditure (P.31)(Seasonally Adjusted),2022Q2,Ireland,30538.56
Household individual Consumption Expenditure (P.31)(Seasonally Adjusted),2022Q3,Ireland,31329.87
Household individual Consumption Expenditure (P.31)(Seasonally Adjusted),2022Q4,Ireland,32767.77
Household individual Consumption Expenditure (P.31)(Seasonally Adjusted),2023Q1,Ireland,33294.62
Household individual Consumption Expenditure (P.31)(Seasonally Adjusted),2023Q2,Ireland,33719.51
Household individual Consumption Expenditure (P.31)(Seasonally Adjusted),2023Q3,Ireland,34553.91
Household individual Consumption Expenditure (P.31)(Constant Price Seasonally Adjusted),1999Q1,Ireland,14717.17
Household individual Consumption Expenditure (P.31)(Constant Price Seasonally Adjusted),1999Q2,Ireland,14709.89
Household individual Consumption Expenditure (P.31)(Constant Price Seasonally Adjusted),1999Q3,Ireland,15585.43
Household individual Consumption Expenditure (P.31)(Constant Price Seasonally Adjusted),1999Q4,Ireland,15567.97
Household individual Consumption Expenditure (P.31)(Constant Price Seasonally Adjusted),2000Q1,Ireland,16330.88
Household individual Consumption Expenditure (P.31)(Constant Price Seasonally Adjusted),2000Q2,Ireland,16712.64
Household individual Consumption Expenditure (P.31)(Constant Price Seasonally Adjusted),2000Q3,Ireland,16816.96
Household individual Consumption Expenditure (P.31)(Constant Price Seasonally Adjusted),2000Q4,Ireland,16968.39
Household individual Consumption Expenditure (P.31)(Constant Price Seasonally Adjusted),2001Q1,Ireland,17280.26
Household individual Consumption Expenditure (P.31)(Constant Price Seasonally Adjusted),2001Q2,Ireland,17624.9
Household individual Consumption Expenditure (P.31)(Constant Price Seasonally Adjusted),2001Q3,Ireland,17598.98
Household individual Consumption Expenditure (P.31)(Constant Price Seasonally Adjusted),2001Q4,Ireland,17944.86
Household individual Consumption Expenditure (P.31)(Constant Price Seasonally Adjusted),2002Q1,Ireland,18093.88
Household individual Consumption Expenditure (P.31)(Constant Price Seasonally Adjusted),2002Q2,Ireland,18161.43
Household individual Consumption Expenditure (P.31)(Constant Price Seasonally Adjusted),2002Q3,Ireland,18606.09
Household individual Consumption Expenditure (P.31)(Constant Price Seasonally Adjusted),2002Q4,Ireland,18564.08
Household individual Consumption Expenditure (P.31)(Constant Price Seasonally Adjusted),2003Q1,Ireland,18820.02
Household individual Consumption Expenditure (P.31)(Constant Price Seasonally Adjusted),2003Q2,Ireland,18949.35
Household individual Consumption Expenditure (P.31)(Constant Price Seasonally Adjusted),2003Q3,Ireland,19013.74
Household individual Consumption Expenditure (P.31)(Constant Price Seasonally Adjusted),2003Q4,Ireland,19233.71
Household individual Consumption Expenditure (P.31)(Constant Price Seasonally Adjusted),2004Q1,Ireland,19573.94
Household individual Consumption Expenditure (P.31)(Constant Price Seasonally Adjusted),2004Q2,Ireland,19679.34
Household individual Consumption Expenditure (P.31)(Constant Price Seasonally Adjusted),2004Q3,Ireland,19850.5
Household individual Consumption Expenditure (P.31)(Constant Price Seasonally Adjusted),2004Q4,Ireland,20037.23
Household individual Consumption Expenditure (P.31)(Constant Price Seasonally Adjusted),2005Q1,Ireland,20363.74
Household individual Consumption Expenditure (P.31)(Constant Price Seasonally Adjusted),2005Q2,Ireland,20908.39
Household individual Consumption Expenditure (P.31)(Constant Price Seasonally Adjusted),2005Q3,Ireland,21588.36
Household individual Consumption Expenditure (P.31)(Constant Price Seasonally Adjusted),2005Q4,Ireland,21712.3
Household individual Consumption Expenditure (P.31)(Constant Price Seasonally Adjusted),2006Q1,Ireland,21841.01
Household individual Consumption Expenditure (P.31)(Constant Price Seasonally Adjusted),2006Q2,Ireland,22377.75
Household individual Consumption Expenditure (P.31)(Constant Price Seasonally Adjusted),2006Q3,Ireland,22533.11
Household individual Consumption Expenditure (P.31)(Constant Price Seasonally Adjusted),2006Q4,Ireland,22969.74
Household individual Consumption Expenditure (P.31)(Constant Price Seasonally Adjusted),2007Q1,Ireland,23582.34
Household individual Consumption Expenditure (P.31)(Constant Price Seasonally Adjusted),2007Q2,Ireland,23765.29
Household individual Consumption Expenditure (P.31)(Constant Price Seasonally Adjusted),2007Q3,Ireland,24009.17
Household individual Consumption Expenditure (P.31)(Constant Price Seasonally Adjusted),2007Q4,Ireland,24226.39
Household individual Consumption Expenditure (P.31)(Constant Price Seasonally Adjusted),2008Q1,Ireland,24575.93
Household individual Consumption Expenditure (P.31)(Constant Price Seasonally Adjusted),2008Q2,Ireland,23988.26
Household individual Consumption Expenditure (P.31)(Constant Price Seasonally Adjusted),2008Q3,Ireland,24085.49
Household individual Consumption Expenditure (P.31)(Constant Price Seasonally Adjusted),2008Q4,Ireland,23951.94
Household individual Consumption Expenditure (P.31)(Constant Price Seasonally Adjusted),2009Q1,Ireland,23275.54
Household individual Consumption Expenditure (P.31)(Constant Price Seasonally Adjusted),2009Q2,Ireland,23100.99
Household individual Consumption Expenditure (P.31)(Constant Price Seasonally Adjusted),2009Q3,Ireland,22939.36
Household individual Consumption Expenditure (P.31)(Constant Price Seasonally Adjusted),2009Q4,Ireland,22971.34
Household individual Consumption Expenditure (P.31)(Constant Price Seasonally Adjusted),2010Q1,Ireland,23038.58
Household individual Consumption Expenditure (P.31)(Constant Price Seasonally Adjusted),2010Q2,Ireland,23126.36
Household individual Consumption Expenditure (P.31)(Constant Price Seasonally Adjusted),2010Q3,Ireland,23269.28
Household individual Consumption Expenditure (P.31)(Constant Price Seasonally Adjusted),2010Q4,Ireland,23034.9
Household individual Consumption Expenditure (P.31)(Constant Price Seasonally Adjusted),2011Q1,Ireland,23009.04
Household individual Consumption Expenditure (P.31)(Constant Price Seasonally Adjusted),2011Q2,Ireland,22905.16
Household individual Consumption Expenditure (P.31)(Constant Price Seasonally Adjusted),2011Q3,Ireland,22530.23
Household individual Consumption Expenditure (P.31)(Constant Price Seasonally Adjusted),2011Q4,Ireland,22654.08
Household individual Consumption Expenditure (P.31)(Constant Price Seasonally Adjusted),2012Q1,Ireland,22414.84
Household individual Consumption Expenditure (P.31)(Constant Price Seasonally Adjusted),2012Q2,Ireland,22530.84
Household individual Consumption Expenditure (P.31)(Constant Price Seasonally Adjusted),2012Q3,Ireland,22868.8
Household individual Consumption Expenditure (P.31)(Constant Price Seasonally Adjusted),2012Q4,Ireland,22748.29
Household individual Consumption Expenditure (P.31)(Constant Price Seasonally Adjusted),2013Q1,Ireland,22657.3
Household individual Consumption Expenditure (P.31)(Constant Price Seasonally Adjusted),2013Q2,Ireland,22666.15
Household individual Consumption Expenditure (P.31)(Constant Price Seasonally Adjusted),2013Q3,Ireland,22885.92
Household individual Consumption Expenditure (P.31)(Constant Price Seasonally Adjusted),2013Q4,Ireland,22952.4
Household individual Consumption Expenditure (P.31)(Constant Price Seasonally Adjusted),2014Q1,Ireland,23003.66
Household individual Consumption Expenditure (P.31)(Constant Price Seasonally Adjusted),2014Q2,Ireland,23323.95
Household individual Consumption Expenditure (P.31)(Constant Price Seasonally Adjusted),2014Q3,Ireland,23462.91
Household individual Consumption Expenditure (P.31)(Constant Price Seasonally Adjusted),2014Q4,Ireland,23746.85
Household individual Consumption Expenditure (P.31)(Constant Price Seasonally Adjusted),2015Q1,Ireland,23722.08
Household individual Consumption Expenditure (P.31)(Constant Price Seasonally Adjusted),2015Q2,Ireland,23957.78
Household individual Consumption Expenditure (P.31)(Constant Price Seasonally Adjusted),2015Q3,Ireland,24196.71
Household individual Consumption Expenditure (P.31)(Constant Price Seasonally Adjusted),2015Q4,Ireland,24382.45
Household individual Consumption Expenditure (P.31)(Constant Price Seasonally Adjusted),2016Q1,Ireland,25237.44
Household individual Consumption Expenditure (P.31)(Constant Price Seasonally Adjusted),2016Q2,Ireland,25005.32
Household individual Consumption Expenditure (P.31)(Constant Price Seasonally Adjusted),2016Q3,Ireland,24977.64
Household individual Consumption Expenditure (P.31)(Constant Price Seasonally Adjusted),2016Q4,Ireland,25459.76
Household individual Consumption Expenditure (P.31)(Constant Price Seasonally Adjusted),2017Q1,Ireland,25651.16
Household individual Consumption Expenditure (P.31)(Constant Price Seasonally Adjusted),2017Q2,Ireland,25539.08
Household individual Consumption Expenditure (P.31)(Constant Price Seasonally Adjusted),2017Q3,Ireland,25857.87
Household individual Consumption Expenditure (P.31)(Constant Price Seasonally Adjusted),2017Q4,Ireland,26110.86
Household individual Consumption Expenditure (P.31)(Constant Price Seasonally Adjusted),2018Q1,Ireland,26543.16
Household individual Consumption Expenditure (P.31)(Constant Price Seasonally Adjusted),2018Q2,Ireland,26857.27
Household individual Consumption Expenditure (P.31)(Constant Price Seasonally Adjusted),2018Q3,Ireland,26831.29
Household individual Consumption Expenditure (P.31)(Constant Price Seasonally Adjusted),2018Q4,Ireland,26857.87
Household individual Consumption Expenditure (P.31)(Constant Price Seasonally Adjusted),2019Q1,Ireland,27427.74
Household individual Consumption Expenditure (P.31)(Constant Price Seasonally Adjusted),2019Q2,Ireland,27627.7
Household individual Consumption Expenditure (P.31)(Constant Price Seasonally Adjusted),2019Q3,Ireland,27303.51
Household individual Consumption Expenditure (P.31)(Constant Price Seasonally Adjusted),2019Q4,Ireland,27310.2
Household individual Consumption Expenditure (P.31)(Constant Price Seasonally Adjusted),2020Q1,Ireland,25962.97
Household individual Consumption Expenditure (P.31)(Constant Price Seasonally Adjusted),2020Q2,Ireland,22196.76
Household individual Consumption Expenditure (P.31)(Constant Price Seasonally Adjusted),2020Q3,Ireland,25078.41
Household individual Consumption Expenditure (P.31)(Constant Price Seasonally Adjusted),2020Q4,Ireland,24438.0
Household individual Consumption Expenditure (P.31)(Constant Price Seasonally Adjusted),2021Q1,Ireland,23467.64
Household individual Consumption Expenditure (P.31)(Constant Price Seasonally Adjusted),2021Q2,Ireland,26858.76
Household individual Consumption Expenditure (P.31)(Constant Price Seasonally Adjusted),2021Q3,Ireland,27650.44
Household individual Consumption Expenditure (P.31)(Constant Price Seasonally Adjusted),2021Q4,Ireland,27808.64
Household individual Consumption Expenditure (P.31)(Constant Price Seasonally Adjusted),2022Q1,Ireland,27976.06
Household individual Consumption Expenditure (P.31)(Constant Price Seasonally Adjusted),2022Q2,Ireland,29116.77
Household individual Consumption Expenditure (P.31)(Constant Price Seasonally Adjusted),2022Q3,Ireland,29255.32
Household individual Consumption Expenditure (P.31)(Constant Price Seasonally Adjusted),2022Q4,Ireland,29545.69
Household individual Consumption Expenditure (P.31)(Constant Price Seasonally Adjusted),2023Q1,Ireland,29624.56
Household individual Consumption Expenditure (P.31)(Constant Price Seasonally Adjusted),2023Q2,Ireland,29853.6
Household individual Consumption Expenditure (P.31)(Constant Price Seasonally Adjusted),2023Q3,Ireland,30045.21
Derived Saving (B.6g+D.8-P.31),1999Q1,Ireland,1519.35
Derived Saving (B.6g+D.8-P.31),1999Q2,Ireland,181.8
Derived Saving (B.6g+D.8-P.31),1999Q3,Ireland,1438.02
Derived Saving (B.6g+D.8-P.31),1999Q4,Ireland,139.87
Derived Saving (B.6g+D.8-P.31),2000Q1,Ireland,635.59
Derived Saving (B.6g+D.8-P.31),2000Q2,Ireland,513.74
Derived Saving (B.6g+D.8-P.31),2000Q3,Ireland,1424.66
Derived Saving (B.6g+D.8-P.31),2000Q4,Ireland,-596.13
Derived Saving (B.6g+D.8-P.31),2001Q1,Ireland,1312.94
Derived Saving (B.6g+D.8-P.31),2001Q2,Ireland,1488.35
Derived Saving (B.6g+D.8-P.31),2001Q3,Ireland,2330.89
Derived Saving (B.6g+D.8-P.31),2001Q4,Ireland,-277.02
Derived Saving (B.6g+D.8-P.31),2002Q1,Ireland,1005.97
Derived Saving (B.6g+D.8-P.31),2002Q2,Ireland,2073.92
Derived Saving (B.6g+D.8-P.31),2002Q3,Ireland,1859.09
Derived Saving (B.6g+D.8-P.31),2002Q4,Ireland,-707.89
Derived Saving (B.6g+D.8-P.31),2003Q1,Ireland,1365.87
Derived Saving (B.6g+D.8-P.31),2003Q2,Ireland,2209.45
Derived Saving (B.6g+D.8-P.31),2003Q3,Ireland,2290.64
Derived Saving (B.6g+D.8-P.31),2003Q4,Ireland,-268.34
Derived Saving (B.6g+D.8-P.31),2004Q1,Ireland,1609.45
Derived Saving (B.6g+D.8-P.31),2004Q2,Ireland,2600.85
