Statistic,Quarter,Sector,value
GVA at Current Basic Prices,2024Q4,Foreign-owned multinational enterprise dominated,65978
GVA at Current Basic Prices,2024Q4,Other sectors excluding the foreign-owned multinational enterprise dominated sector,70260
GVA at Constant Basic Prices,1995Q1,All sectors,26590
GVA at Constant Basic Prices,1995Q1,Foreign-owned multinational enterprise dominated,3858
GVA at Constant Basic Prices,1995Q1,Other sectors excluding the foreign-owned multinational enterprise dominated sector,24065
GVA at Constant Basic Prices,1995Q2,All sectors,28090
GVA at Constant Basic Prices,1995Q2,Foreign-owned multinational enterprise dominated,3833
GVA at Constant Basic Prices,1995Q2,Other sectors excluding the foreign-owned multinational enterprise dominated sector,25755
GVA at Constant Basic Prices,1995Q3,All sectors,27006
GVA at Constant Basic Prices,1995Q3,Foreign-owned multinational enterprise dominated,3286
GVA at Constant Basic Prices,1995Q3,Other sectors excluding the foreign-owned multinational enterprise dominated sector,25309
GVA at Constant Basic Prices,1995Q4,All sectors,27286
GVA at Constant Basic Prices,1995Q4,Foreign-owned multinational enterprise dominated,4063
GVA at Constant Basic Prices,1995Q4,Other sectors excluding the foreign-owned multinational enterprise dominated sector,24552
GVA at Constant Basic Prices,1996Q1,All sectors,28402
GVA at Constant Basic Prices,1996Q1,Foreign-owned multinational enterprise dominated,4188
GVA at Constant Basic Prices,1996Q1,Other sectors excluding the foreign-owned multinational enterprise dominated sector,25571
GVA at Constant Basic Prices,1996Q2,All sectors,29735
GVA at Constant Basic Prices,1996Q2,Foreign-owned multinational enterprise dominated,4156
GVA at Constant Basic Prices,1996Q2,Other sectors excluding the foreign-owned multinational enterprise dominated sector,27120
GVA at Constant Basic Prices,1996Q3,All sectors,28203
GVA at Constant Basic Prices,1996Q3,Foreign-owned multinational enterprise dominated,3531
GVA at Constant Basic Prices,1996Q3,Other sectors excluding the foreign-owned multinational enterprise dominated sector,26350
GVA at Constant Basic Prices,1996Q4,All sectors,29179
GVA at Constant Basic Prices,1996Q4,Foreign-owned multinational enterprise dominated,4353
GVA at Constant Basic Prices,1996Q4,Other sectors excluding the foreign-owned multinational enterprise dominated sector,26193
GVA at Constant Basic Prices,1997Q1,All sectors,30591
GVA at Constant Basic Prices,1997Q1,Foreign-owned multinational enterprise dominated,4778
GVA at Constant Basic Prices,1997Q1,Other sectors excluding the foreign-owned multinational enterprise dominated sector,27145
GVA at Constant Basic Prices,1997Q2,All sectors,32409
GVA at Constant Basic Prices,1997Q2,Foreign-owned multinational enterprise dominated,5014
GVA at Constant Basic Prices,1997Q2,Other sectors excluding the foreign-owned multinational enterprise dominated sector,28831
GVA at Constant Basic Prices,1997Q3,All sectors,32163
GVA at Constant Basic Prices,1997Q3,Foreign-owned multinational enterprise dominated,5113
GVA at Constant Basic Prices,1997Q3,Other sectors excluding the foreign-owned multinational enterprise dominated sector,28406
GVA at Constant Basic Prices,1997Q4,All sectors,32437
GVA at Constant Basic Prices,1997Q4,Foreign-owned multinational enterprise dominated,5364
GVA at Constant Basic Prices,1997Q4,Other sectors excluding the foreign-owned multinational enterprise dominated sector,28336
GVA at Constant Basic Prices,1998Q1,All sectors,34150
GVA at Constant Basic Prices,1998Q1,Foreign-owned multinational enterprise dominated,6169
GVA at Constant Basic Prices,1998Q1,Other sectors excluding the foreign-owned multinational enterprise dominated sector,29033
GVA at Constant Basic Prices,1998Q2,All sectors,34839
GVA at Constant Basic Prices,1998Q2,Foreign-owned multinational enterprise dominated,5997
GVA at Constant Basic Prices,1998Q2,Other sectors excluding the foreign-owned multinational enterprise dominated sector,30070
GVA at Constant Basic Prices,1998Q3,All sectors,35136
GVA at Constant Basic Prices,1998Q3,Foreign-owned multinational enterprise dominated,6147
GVA at Constant Basic Prices,1998Q3,Other sectors excluding the foreign-owned multinational enterprise dominated sector,30176
GVA at Constant Basic Prices,1998Q4,All sectors,34847
GVA at Constant Basic Prices,1998Q4,Foreign-owned multinational enterprise dominated,5831
GVA at Constant Basic Prices,1998Q4,Other sectors excluding the foreign-owned multinational enterprise dominated sector,30332
GVA at Constant Basic Prices,1999Q1,All sectors,36373
GVA at Constant Basic Prices,1999Q1,Foreign-owned multinational enterprise dominated,7027
GVA at Constant Basic Prices,1999Q1,Other sectors excluding the foreign-owned multinational enterprise dominated sector,30242
GVA at Constant Basic Prices,1999Q2,All sectors,37336
GVA at Constant Basic Prices,1999Q2,Foreign-owned multinational enterprise dominated,6750
GVA at Constant Basic Prices,1999Q2,Other sectors excluding the foreign-owned multinational enterprise dominated sector,31738
GVA at Constant Basic Prices,1999Q3,All sectors,37505
GVA at Constant Basic Prices,1999Q3,Foreign-owned multinational enterprise dominated,6774
GVA at Constant Basic Prices,1999Q3,Other sectors excluding the foreign-owned multinational enterprise dominated sector,31891
GVA at Constant Basic Prices,1999Q4,All sectors,39397
GVA at Constant Basic Prices,1999Q4,Foreign-owned multinational enterprise dominated,8014
GVA at Constant Basic Prices,1999Q4,Other sectors excluding the foreign-owned multinational enterprise dominated sector,32148
GVA at Constant Basic Prices,2000Q1,All sectors,38354
GVA at Constant Basic Prices,2000Q1,Foreign-owned multinational enterprise dominated,7255
GVA at Constant Basic Prices,2000Q1,Other sectors excluding the foreign-owned multinational enterprise dominated sector,32121
GVA at Constant Basic Prices,2000Q2,All sectors,40802
GVA at Constant Basic Prices,2000Q2,Foreign-owned multinational enterprise dominated,7896
GVA at Constant Basic Prices,2000Q2,Other sectors excluding the foreign-owned multinational enterprise dominated sector,33906
GVA at Constant Basic Prices,2000Q3,All sectors,40547
GVA at Constant Basic Prices,2000Q3,Foreign-owned multinational enterprise dominated,7633
GVA at Constant Basic Prices,2000Q3,Other sectors excluding the foreign-owned multinational enterprise dominated sector,34012
GVA at Constant Basic Prices,2000Q4,All sectors,43202
GVA at Constant Basic Prices,2000Q4,Foreign-owned multinational enterprise dominated,9581
GVA at Constant Basic Prices,2000Q4,Other sectors excluding the foreign-owned multinational enterprise dominated sector,34095
GVA at Constant Basic Prices,2001Q1,All sectors,41488
GVA at Constant Basic Prices,2001Q1,Foreign-owned multinational enterprise dominated,9176
GVA at Constant Basic Prices,2001Q1,Other sectors excluding the foreign-owned multinational enterprise dominated sector,32893
GVA at Constant Basic Prices,2001Q2,All sectors,42956
GVA at Constant Basic Prices,2001Q2,Foreign-owned multinational enterprise dominated,8643
GVA at Constant Basic Prices,2001Q2,Other sectors excluding the foreign-owned multinational enterprise dominated sector,35222
GVA at Constant Basic Prices,2001Q3,All sectors,41312
GVA at Constant Basic Prices,2001Q3,Foreign-owned multinational enterprise dominated,7605
GVA at Constant Basic Prices,2001Q3,Other sectors excluding the foreign-owned multinational enterprise dominated sector,34834
GVA at Constant Basic Prices,2001Q4,All sectors,43354
GVA at Constant Basic Prices,2001Q4,Foreign-owned multinational enterprise dominated,8861
GVA at Constant Basic Prices,2001Q4,Other sectors excluding the foreign-owned multinational enterprise dominated sector,35361
GVA at Constant Basic Prices,2002Q1,All sectors,43242
GVA at Constant Basic Prices,2002Q1,Foreign-owned multinational enterprise dominated,9607
GVA at Constant Basic Prices,2002Q1,Other sectors excluding the foreign-owned multinational enterprise dominated sector,34176
GVA at Constant Basic Prices,2002Q2,All sectors,46066
GVA at Constant Basic Prices,2002Q2,Foreign-owned multinational enterprise dominated,10553
GVA at Constant Basic Prices,2002Q2,Other sectors excluding the foreign-owned multinational enterprise dominated sector,35957
GVA at Constant Basic Prices,2002Q3,All sectors,44032
GVA at Constant Basic Prices,2002Q3,Foreign-owned multinational enterprise dominated,9285
GVA at Constant Basic Prices,2002Q3,Other sectors excluding the foreign-owned multinational enterprise dominated sector,35505
GVA at Constant Basic Prices,2002Q4,All sectors,46074
GVA at Constant Basic Prices,2002Q4,Foreign-owned multinational enterprise dominated,10268
GVA at Constant Basic Prices,2002Q4,Other sectors excluding the foreign-owned multinational enterprise dominated sector,36370
GVA at Constant Basic Prices,2003Q1,All sectors,43918
GVA at Constant Basic Prices,2003Q1,Foreign-owned multinational enterprise dominated,9392
GVA at Constant Basic Prices,2003Q1,Other sectors excluding the foreign-owned multinational enterprise dominated sector,35205
GVA at Constant Basic Prices,2003Q2,All sectors,46283
GVA at Constant Basic Prices,2003Q2,Foreign-owned multinational enterprise dominated,10093
GVA at Constant Basic Prices,2003Q2,Other sectors excluding the foreign-owned multinational enterprise dominated sector,36838
GVA at Constant Basic Prices,2003Q3,All sectors,43771
GVA at Constant Basic Prices,2003Q3,Foreign-owned multinational enterprise dominated,7801
GVA at Constant Basic Prices,2003Q3,Other sectors excluding the foreign-owned multinational enterprise dominated sector,37190
GVA at Constant Basic Prices,2003Q4,All sectors,47769
GVA at Constant Basic Prices,2003Q4,Foreign-owned multinational enterprise dominated,10582
GVA at Constant Basic Prices,2003Q4,Other sectors excluding the foreign-owned multinational enterprise dominated sector,37798
GVA at Constant Basic Prices,2004Q1,All sectors,46979
GVA at Constant Basic Prices,2004Q1,Foreign-owned multinational enterprise dominated,9805
GVA at Constant Basic Prices,2004Q1,Other sectors excluding the foreign-owned multinational enterprise dominated sector,37987
GVA at Constant Basic Prices,2004Q2,All sectors,48797
GVA at Constant Basic Prices,2004Q2,Foreign-owned multinational enterprise dominated,10286
GVA at Constant Basic Prices,2004Q2,Other sectors excluding the foreign-owned multinational enterprise dominated sector,39337
GVA at Constant Basic Prices,2004Q3,All sectors,45957
GVA at Constant Basic Prices,2004Q3,Foreign-owned multinational enterprise dominated,8255
GVA at Constant Basic Prices,2004Q3,Other sectors excluding the foreign-owned multinational enterprise dominated sector,38744
GVA at Constant Basic Prices,2004Q4,All sectors,49458
GVA at Constant Basic Prices,2004Q4,Foreign-owned multinational enterprise dominated,10301
GVA at Constant Basic Prices,2004Q4,Other sectors excluding the foreign-owned multinational enterprise dominated sector,40017
GVA at Constant Basic Prices,2005Q1,All sectors,49841
GVA at Constant Basic Prices,2005Q1,Foreign-owned multinational enterprise dominated,11017
GVA at Constant Basic Prices,2005Q1,Other sectors excluding the foreign-owned multinational enterprise dominated sector,39617
GVA at Constant Basic Prices,2005Q2,All sectors,51356
GVA at Constant Basic Prices,2005Q2,Foreign-owned multinational enterprise dominated,10879
GVA at Constant Basic Prices,2005Q2,Other sectors excluding the foreign-owned multinational enterprise dominated sector,41360
GVA at Constant Basic Prices,2005Q3,All sectors,49304
GVA at Constant Basic Prices,2005Q3,Foreign-owned multinational enterprise dominated,9323
GVA at Constant Basic Prices,2005Q3,Other sectors excluding the foreign-owned multinational enterprise dominated sector,40983
GVA at Constant Basic Prices,2005Q4,All sectors,52335
GVA at Constant Basic Prices,2005Q4,Foreign-owned multinational enterprise dominated,10972
GVA at Constant Basic Prices,2005Q4,Other sectors excluding the foreign-owned multinational enterprise dominated sector,42278
GVA at Constant Basic Prices,2006Q1,All sectors,51878
GVA at Constant Basic Prices,2006Q1,Foreign-owned multinational enterprise dominated,10732
GVA at Constant Basic Prices,2006Q1,Other sectors excluding the foreign-owned multinational enterprise dominated sector,42066
GVA at Constant Basic Prices,2006Q2,All sectors,54021
GVA at Constant Basic Prices,2006Q2,Foreign-owned multinational enterprise dominated,12207
GVA at Constant Basic Prices,2006Q2,Other sectors excluding the foreign-owned multinational enterprise dominated sector,42763
GVA at Constant Basic Prices,2006Q3,All sectors,52124
GVA at Constant Basic Prices,2006Q3,Foreign-owned multinational enterprise dominated,10559
GVA at Constant Basic Prices,2006Q3,Other sectors excluding the foreign-owned multinational enterprise dominated sector,42491
GVA at Constant Basic Prices,2006Q4,All sectors,54125
GVA at Constant Basic Prices,2006Q4,Foreign-owned multinational enterprise dominated,10990
GVA at Constant Basic Prices,2006Q4,Other sectors excluding the foreign-owned multinational enterprise dominated sector,44096
GVA at Constant Basic Prices,2007Q1,All sectors,56761
GVA at Constant Basic Prices,2007Q1,Foreign-owned multinational enterprise dominated,13301
GVA at Constant Basic Prices,2007Q1,Other sectors excluding the foreign-owned multinational enterprise dominated sector,44599
GVA at Constant Basic Prices,2007Q2,All sectors,57300
GVA at Constant Basic Prices,2007Q2,Foreign-owned multinational enterprise dominated,12439
GVA at Constant Basic Prices,2007Q2,Other sectors excluding the foreign-owned multinational enterprise dominated sector,45916
GVA at Constant Basic Prices,2007Q3,All sectors,56273
GVA at Constant Basic Prices,2007Q3,Foreign-owned multinational enterprise dominated,10876
GVA at Constant Basic Prices,2007Q3,Other sectors excluding the foreign-owned multinational enterprise dominated sector,46305
GVA at Constant Basic Prices,2007Q4,All sectors,58401
GVA at Constant Basic Prices,2007Q4,Foreign-owned multinational enterprise dominated,12632
GVA at Constant Basic Prices,2007Q4,Other sectors excluding the foreign-owned multinational enterprise dominated sector,46840
GVA at Constant Basic Prices,2008Q1,All sectors,57049
GVA at Constant Basic Prices,2008Q1,Foreign-owned multinational enterprise dominated,12555
GVA at Constant Basic Prices,2008Q1,Other sectors excluding the foreign-owned multinational enterprise dominated sector,45573
GVA at Constant Basic Prices,2008Q2,All sectors,57218
GVA at Constant Basic Prices,2008Q2,Foreign-owned multinational enterprise dominated,12770
GVA at Constant Basic Prices,2008Q2,Other sectors excluding the foreign-owned multinational enterprise dominated sector,45555
GVA at Constant Basic Prices,2008Q3,All sectors,55677
GVA at Constant Basic Prices,2008Q3,Foreign-owned multinational enterprise dominated,11944
GVA at Constant Basic Prices,2008Q3,Other sectors excluding the foreign-owned multinational enterprise dominated sector,44743
GVA at Constant Basic Prices,2008Q4,All sectors,53657
GVA at Constant Basic Prices,2008Q4,Foreign-owned multinational enterprise dominated,10536
GVA at Constant Basic Prices,2008Q4,Other sectors excluding the foreign-owned multinational enterprise dominated sector,43956
GVA at Constant Basic Prices,2009Q1,All sectors,53235
GVA at Constant Basic Prices,2009Q1,Foreign-owned multinational enterprise dominated,13437
GVA at Constant Basic Prices,2009Q1,Other sectors excluding the foreign-owned multinational enterprise dominated sector,40919
GVA at Constant Basic Prices,2009Q2,All sectors,53786
GVA at Constant Basic Prices,2009Q2,Foreign-owned multinational enterprise dominated,13569
GVA at Constant Basic Prices,2009Q2,Other sectors excluding the foreign-owned multinational enterprise dominated sector,41348
GVA at Constant Basic Prices,2009Q3,All sectors,51546
GVA at Constant Basic Prices,2009Q3,Foreign-owned multinational enterprise dominated,11817
GVA at Constant Basic Prices,2009Q3,Other sectors excluding the foreign-owned multinational enterprise dominated sector,40721
GVA at Constant Basic Prices,2009Q4,All sectors,50782
GVA at Constant Basic Prices,2009Q4,Foreign-owned multinational enterprise dominated,10985
GVA at Constant Basic Prices,2009Q4,Other sectors excluding the foreign-owned multinational enterprise dominated sector,40723
GVA at Constant Basic Prices,2010Q1,All sectors,53133
GVA at Constant Basic Prices,2010Q1,Foreign-owned multinational enterprise dominated,13905
GVA at Constant Basic Prices,2010Q1,Other sectors excluding the foreign-owned multinational enterprise dominated sector,40236
GVA at Constant Basic Prices,2010Q2,All sectors,53063
GVA at Constant Basic Prices,2010Q2,Foreign-owned multinational enterprise dominated,13027
GVA at Constant Basic Prices,2010Q2,Other sectors excluding the foreign-owned multinational enterprise dominated sector,41077
GVA at Constant Basic Prices,2010Q3,All sectors,52741
GVA at Constant Basic Prices,2010Q3,Foreign-owned multinational enterprise dominated,12632
GVA at Constant Basic Prices,2010Q3,Other sectors excluding the foreign-owned multinational enterprise dominated sector,41156
GVA at Constant Basic Prices,2010Q4,All sectors,54177
GVA at Constant Basic Prices,2010Q4,Foreign-owned multinational enterprise dominated,13219
GVA at Constant Basic Prices,2010Q4,Other sectors excluding the foreign-owned multinational enterprise dominated sector,42024
GVA at Constant Basic Prices,2011Q1,All sectors,53340
GVA at Constant Basic Prices,2011Q1,Foreign-owned multinational enterprise dominated,13261
GVA at Constant Basic Prices,2011Q1,Other sectors excluding the foreign-owned multinational enterprise dominated sector,41121
GVA at Constant Basic Prices,2011Q2,All sectors,55668
GVA at Constant Basic Prices,2011Q2,Foreign-owned multinational enterprise dominated,14145
GVA at Constant Basic Prices,2011Q2,Other sectors excluding the foreign-owned multinational enterprise dominated sector,42619
GVA at Constant Basic Prices,2011Q3,All sectors,54049
GVA at Constant Basic Prices,2011Q3,Foreign-owned multinational enterprise dominated,12519
GVA at Constant Basic Prices,2011Q3,Other sectors excluding the foreign-owned multinational enterprise dominated sector,42564
GVA at Constant Basic Prices,2011Q4,All sectors,55181
GVA at Constant Basic Prices,2011Q4,Foreign-owned multinational enterprise dominated,13223
GVA at Constant Basic Prices,2011Q4,Other sectors excluding the foreign-owned multinational enterprise dominated sector,43024
GVA at Constant Basic Prices,2012Q1,All sectors,53193
GVA at Constant Basic Prices,2012Q1,Foreign-owned multinational enterprise dominated,14426
GVA at Constant Basic Prices,2012Q1,Other sectors excluding the foreign-owned multinational enterprise dominated sector,39728
GVA at Constant Basic Prices,2012Q2,All sectors,53454
GVA at Constant Basic Prices,2012Q2,Foreign-owned multinational enterprise dominated,13855
GVA at Constant Basic Prices,2012Q2,Other sectors excluding the foreign-owned multinational enterprise dominated sector,40597
GVA at Constant Basic Prices,2012Q3,All sectors,52269
GVA at Constant Basic Prices,2012Q3,Foreign-owned multinational enterprise dominated,12435
GVA at Constant Basic Prices,2012Q3,Other sectors excluding the foreign-owned multinational enterprise dominated sector,40864
GVA at Constant Basic Prices,2012Q4,All sectors,53234
GVA at Constant Basic Prices,2012Q4,Foreign-owned multinational enterprise dominated,12084
GVA at Constant Basic Prices,2012Q4,Other sectors excluding the foreign-owned multinational enterprise dominated sector,42227
GVA at Constant Basic Prices,2013Q1,All sectors,51955
GVA at Constant Basic Prices,2013Q1,Foreign-owned multinational enterprise dominated,13115
GVA at Constant Basic Prices,2013Q1,Other sectors excluding the foreign-owned multinational enterprise dominated sector,39837
GVA at Constant Basic Prices,2013Q2,All sectors,54074
GVA at Constant Basic Prices,2013Q2,Foreign-owned multinational enterprise dominated,13223
GVA at Constant Basic Prices,2013Q2,Other sectors excluding the foreign-owned multinational enterprise dominated sector,41885
GVA at Constant Basic Prices,2013Q3,All sectors,54732
GVA at Constant Basic Prices,2013Q3,Foreign-owned multinational enterprise dominated,12415
GVA at Constant Basic Prices,2013Q3,Other sectors excluding the foreign-owned multinational enterprise dominated sector,43360
GVA at Constant Basic Prices,2013Q4,All sectors,56019
GVA at Constant Basic Prices,2013Q4,Foreign-owned multinational enterprise dominated,12805
GVA at Constant Basic Prices,2013Q4,Other sectors excluding the foreign-owned multinational enterprise dominated sector,44283
GVA at Constant Basic Prices,2014Q1,All sectors,56322
GVA at Constant Basic Prices,2014Q1,Foreign-owned multinational enterprise dominated,14463
GVA at Constant Basic Prices,2014Q1,Other sectors excluding the foreign-owned multinational enterprise dominated sector,42932
GVA at Constant Basic Prices,2014Q2,All sectors,59750
GVA at Constant Basic Prices,2014Q2,Foreign-owned multinational enterprise dominated,16199
GVA at Constant Basic Prices,2014Q2,Other sectors excluding the foreign-owned multinational enterprise dominated sector,44686
GVA at Constant Basic Prices,2014Q3,All sectors,58858
GVA at Constant Basic Prices,2014Q3,Foreign-owned multinational enterprise dominated,13616
GVA at Constant Basic Prices,2014Q3,Other sectors excluding the foreign-owned multinational enterprise dominated sector,46368
GVA at Constant Basic Prices,2014Q4,All sectors,60563
GVA at Constant Basic Prices,2014Q4,Foreign-owned multinational enterprise dominated,14937
GVA at Constant Basic Prices,2014Q4,Other sectors excluding the foreign-owned multinational enterprise dominated sector,46782
GVA at Constant Basic Prices,2015Q1,All sectors,72963
GVA at Constant Basic Prices,2015Q1,Foreign-owned multinational enterprise dominated,29284
GVA at Constant Basic Prices,2015Q1,Other sectors excluding the foreign-owned multinational enterprise dominated sector,45474
GVA at Constant Basic Prices,2015Q2,All sectors,69573
GVA at Constant Basic Prices,2015Q2,Foreign-owned multinational enterprise dominated,24512
GVA at Constant Basic Prices,2015Q2,Other sectors excluding the foreign-owned multinational enterprise dominated sector,46646
GVA at Constant Basic Prices,2015Q3,All sectors,71389
GVA at Constant Basic Prices,2015Q3,Foreign-owned multinational enterprise dominated,24434
GVA at Constant Basic Prices,2015Q3,Other sectors excluding the foreign-owned multinational enterprise dominated sector,48555
GVA at Constant Basic Prices,2015Q4,All sectors,74553
GVA at Constant Basic Prices,2015Q4,Foreign-owned multinational enterprise dominated,27410
GVA at Constant Basic Prices,2015Q4,Other sectors excluding the foreign-owned multinational enterprise dominated sector,48884
GVA at Constant Basic Prices,2016Q1,All sectors,71358
GVA at Constant Basic Prices,2016Q1,Foreign-owned multinational enterprise dominated,26682
GVA at Constant Basic Prices,2016Q1,Other sectors excluding the foreign-owned multinational enterprise dominated sector,46213
GVA at Constant Basic Prices,2016Q2,All sectors,70551
GVA at Constant Basic Prices,2016Q2,Foreign-owned multinational enterprise dominated,24733
GVA at Constant Basic Prices,2016Q2,Other sectors excluding the foreign-owned multinational enterprise dominated sector,47713
GVA at Constant Basic Prices,2016Q3,All sectors,69229
GVA at Constant Basic Prices,2016Q3,Foreign-owned multinational enterprise dominated,22464
GVA at Constant Basic Prices,2016Q3,Other sectors excluding the foreign-owned multinational enterprise dominated sector,49035
GVA at Constant Basic Prices,2016Q4,All sectors,80173
GVA at Constant Basic Prices,2016Q4,Foreign-owned multinational enterprise dominated,32734
GVA at Constant Basic Prices,2016Q4,Other sectors excluding the foreign-owned multinational enterprise dominated sector,48538
GVA at Constant Basic Prices,2017Q1,All sectors,74430
GVA at Constant Basic Prices,2017Q1,Foreign-owned multinational enterprise dominated,26991
GVA at Constant Basic Prices,2017Q1,Other sectors excluding the foreign-owned multinational enterprise dominated sector,49212
GVA at Constant Basic Prices,2017Q2,All sectors,74840
GVA at Constant Basic Prices,2017Q2,Foreign-owned multinational enterprise dominated,26724
GVA at Constant Basic Prices,2017Q2,Other sectors excluding the foreign-owned multinational enterprise dominated sector,49958
GVA at Constant Basic Prices,2017Q3,All sectors,80065
GVA at Constant Basic Prices,2017Q3,Foreign-owned multinational enterprise dominated,30128
GVA at Constant Basic Prices,2017Q3,Other sectors excluding the foreign-owned multinational enterprise dominated sector,51688
GVA at Constant Basic Prices,2017Q4,All sectors,84465
GVA at Constant Basic Prices,2017Q4,Foreign-owned multinational enterprise dominated,33993
GVA at Constant Basic Prices,2017Q4,Other sectors excluding the foreign-owned multinational enterprise dominated sector,52005
GVA at Constant Basic Prices,2018Q1,All sectors,81147
GVA at Constant Basic Prices,2018Q1,Foreign-owned multinational enterprise dominated,32272
GVA at Constant Basic Prices,2018Q1,Other sectors excluding the foreign-owned multinational enterprise dominated sector,50362
GVA at Constant Basic Prices,2018Q2,All sectors,84935
GVA at Constant Basic Prices,2018Q2,Foreign-owned multinational enterprise dominated,33895
GVA at Constant Basic Prices,2018Q2,Other sectors excluding the foreign-owned multinational enterprise dominated sector,52576
GVA at Constant Basic Prices,2018Q3,All sectors,87173
GVA at Constant Basic Prices,2018Q3,Foreign-owned multinational enterprise dominated,34607
GVA at Constant Basic Prices,2018Q3,Other sectors excluding the foreign-owned multinational enterprise dominated sector,54173
GVA at Constant Basic Prices,2018Q4,All sectors,89518
GVA at Constant Basic Prices,2018Q4,Foreign-owned multinational enterprise dominated,35919
GVA at Constant Basic Prices,2018Q4,Other sectors excluding the foreign-owned multinational enterprise dominated sector,55186
GVA at Constant Basic Prices,2019Q1,All sectors,84436
GVA at Constant Basic Prices,2019Q1,Foreign-owned multinational enterprise dominated,32956
GVA at Constant Basic Prices,2019Q1,Other sectors excluding the foreign-owned multinational enterprise dominated sector,53118
GVA at Constant Basic Prices,2019Q2,All sectors,89392
GVA at Constant Basic Prices,2019Q2,Foreign-owned multinational enterprise dominated,36339
GVA at Constant Basic Prices,2019Q2,Other sectors excluding the foreign-owned multinational enterprise dominated sector,54572
GVA at Constant Basic Prices,2019Q3,All sectors,92308
GVA at Constant Basic Prices,2019Q3,Foreign-owned multinational enterprise dominated,37581
GVA at Constant Basic Prices,2019Q3,Other sectors excluding the foreign-owned multinational enterprise dominated sector,56287
GVA at Constant Basic Prices,2019Q4,All sectors,94988
GVA at Constant Basic Prices,2019Q4,Foreign-owned multinational enterprise dominated,38920
GVA at Constant Basic Prices,2019Q4,Other sectors excluding the foreign-owned multinational enterprise dominated sector,57637
GVA at Constant Basic Prices,2020Q1,All sectors,95927
GVA at Constant Basic Prices,2020Q1,Foreign-owned multinational enterprise dominated,42360
GVA at Constant Basic Prices,2020Q1,Other sectors excluding the foreign-owned multinational enterprise dominated sector,54477
GVA at Constant Basic Prices,2020Q2,All sectors,90753
GVA at Constant Basic Prices,2020Q2,Foreign-owned multinational enterprise dominated,43664
GVA at Constant Basic Prices,2020Q2,Other sectors excluding the foreign-owned multinational enterprise dominated sector,47198
GVA at Constant Basic Prices,2020Q3,All sectors,101107
GVA at Constant Basic Prices,2020Q3,Foreign-owned multinational enterprise dominated,48088
GVA at Constant Basic Prices,2020Q3,Other sectors excluding the foreign-owned multinational enterprise dominated sector,53257
GVA at Constant Basic Prices,2020Q4,All sectors,101739
GVA at Constant Basic Prices,2020Q4,Foreign-owned multinational enterprise dominated,47162
GVA at Constant Basic Prices,2020Q4,Other sectors excluding the foreign-owned multinational enterprise dominated sector,55073
GVA at Constant Basic Prices,2021Q1,All sectors,107142
GVA at Constant Basic Prices,2021Q1,Foreign-owned multinational enterprise dominated,54485
GVA at Constant Basic Prices,2021Q1,Other sectors excluding the foreign-owned multinational enterprise dominated sector,52723
GVA at Constant Basic Prices,2021Q2,All sectors,110415
GVA at Constant Basic Prices,2021Q2,Foreign-owned multinational enterprise dominated,54784
GVA at Constant Basic Prices,2021Q2,Other sectors excluding the foreign-owned multinational enterprise dominated sector,55822
GVA at Constant Basic Prices,2021Q3,All sectors,117880
GVA at Constant Basic Prices,2021Q3,Foreign-owned multinational enterprise dominated,60219
GVA at Constant Basic Prices,2021Q3,Other sectors excluding the foreign-owned multinational enterprise dominated sector,57709
GVA at Constant Basic Prices,2021Q4,All sectors,117682
GVA at Constant Basic Prices,2021Q4,Foreign-owned multinational enterprise dominated,57758
GVA at Constant Basic Prices,2021Q4,Other sectors excluding the foreign-owned multinational enterprise dominated sector,60184
GVA at Constant Basic Prices,2022Q1,All sectors,116792
GVA at Constant Basic Prices,2022Q1,Foreign-owned multinational enterprise dominated,60617
GVA at Constant Basic Prices,2022Q1,Other sectors excluding the foreign-owned multinational enterprise dominated sector,56213
GVA at Constant Basic Prices,2022Q2,All sectors,120440
GVA at Constant Basic Prices,2022Q2,Foreign-owned multinational enterprise dominated,61664
GVA at Constant Basic Prices,2022Q2,Other sectors excluding the foreign-owned multinational enterprise dominated sector,58860
GVA at Constant Basic Prices,2022Q3,All sectors,129297
GVA at Constant Basic Prices,2022Q3,Foreign-owned multinational enterprise dominated,69337
GVA at Constant Basic Prices,2022Q3,Other sectors excluding the foreign-owned multinational enterprise dominated sector,59884
GVA at Constant Basic Prices,2022Q4,All sectors,131000
GVA at Constant Basic Prices,2022Q4,Foreign-owned multinational enterprise dominated,69680
GVA at Constant Basic Prices,2022Q4,Other sectors excluding the foreign-owned multinational enterprise dominated sector,61274
GVA at Constant Basic Prices,2023Q1,All sectors,114168
GVA at Constant Basic Prices,2023Q1,Foreign-owned multinational enterprise dominated,53894
GVA at Constant Basic Prices,2023Q1,Other sectors excluding the foreign-owned multinational enterprise dominated sector,60275
GVA at Constant Basic Prices,2023Q2,All sectors,118956
GVA at Constant Basic Prices,2023Q2,Foreign-owned multinational enterprise dominated,55920
GVA at Constant Basic Prices,2023Q2,Other sectors excluding the foreign-owned multinational enterprise dominated sector,63036
GVA at Constant Basic Prices,2023Q3,All sectors,119490
GVA at Constant Basic Prices,2023Q3,Foreign-owned multinational enterprise dominated,56362
GVA at Constant Basic Prices,2023Q3,Other sectors excluding the foreign-owned multinational enterprise dominated sector,63128
GVA at Constant Basic Prices,2023Q4,All sectors,116952
GVA at Constant Basic Prices,2023Q4,Foreign-owned multinational enterprise dominated,52675
